interaction_name,liga_source,liga_source_score,ligands,receptors,interaction_name,LR_score,celltype,Pvalue,FDR
EFNA1-ARF6,GE,0.7356404690106572,EFNA1,ARF6,EFNA1-ARF6,4.283854675951492,udTE,0.001,0.012785714285714286
EFNA1-ARF6,EC,0.21984824041560214,EFNA1,ARF6,EFNA1-ARF6,4.283854675951492,udTE,0.001,0.012785714285714286
LGALS3BP-CD9,LE,1.4446777722705126,LGALS3BP,CD9,LGALS3BP-CD9,1.7529692713198126,udTE,0.001,0.012785714285714286
LGALS3BP-CD9,B,0.9371028176385585,LGALS3BP,CD9,LGALS3BP-CD9,1.7529692713198126,udTE,0.001,0.012785714285714286
LGALS3BP-CD9,EC,0.5695742530035495,LGALS3BP,CD9,LGALS3BP-CD9,1.7529692713198126,udTE,0.001,0.012785714285714286
MIF-LRP2,SC1,0.8390957622316358,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
MIF-LRP2,NKT,0.14491387345076373,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
MIF-LRP2,T,0.32082862892127,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
MIF-LRP2,LE,0.929559365869486,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
MIF-LRP2,B,0.3915427578226288,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
MIF-LRP2,PV2,0.38689100400397053,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
MIF-LRP2,EC,0.666229605961835,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
MIF-LRP2,GE,1.3903217051165302,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
MIF-LRP2,NK,0.3321513600851805,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
MIF-LRP2,SC2,1.2521592866634772,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
MIF-LRP2,PC,0.40618455607012277,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
MIF-LRP2,PV1,0.40266646609722095,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
AGRN-LRP2,EC,0.2607552530588012,AGRN,LRP2,AGRN-LRP2,0.7079457935929068,mmTE,0.001,0.012785714285714286
AGRN-LRP2,LE,1.1366802874633275,AGRN,LRP2,AGRN-LRP2,0.7079457935929068,mmTE,0.001,0.012785714285714286
ARPC5-LRP2,NK,0.016069288465912067,ARPC5,LRP2,ARPC5-LRP2,0.7026289912342546,mmTE,0.001,0.012785714285714286
ARPC5-LRP2,EC,0.2727670574470663,ARPC5,LRP2,ARPC5-LRP2,0.7026289912342546,mmTE,0.001,0.012785714285714286
ARPC5-LRP2,SC2,0.18492470791081708,ARPC5,LRP2,ARPC5-LRP2,0.7026289912342546,mmTE,0.001,0.012785714285714286
ARPC5-LRP2,B,0.07629169416421074,ARPC5,LRP2,ARPC5-LRP2,0.7026289912342546,mmTE,0.001,0.012785714285714286
ARPC5-LRP2,GE,0.5358470545423035,ARPC5,LRP2,ARPC5-LRP2,0.7026289912342546,mmTE,0.001,0.012785714285714286
PNP-PAQR8,EC,1.0659364907444442,PNP,PAQR8,PNP-PAQR8,0.09780571434668635,mmTE,0.002,0.024689655172413793
EGFR-ARF6,GE,0.0918117949717197,EGFR,ARF6,EGFR-ARF6,0.07502681084477854,udTE,0.001,0.012785714285714286
EGFR-HSP90AA1,GE,0.0918117949717197,EGFR,HSP90AA1,EGFR-HSP90AA1,0.04259220834583287,udTE,0.001,0.012785714285714286
SDF4-RPSA,EC,0.42431336393402164,SDF4,RPSA,SDF4-RPSA,0.021849742914415562,udTE,0.001,0.012785714285714286
SDF4-RPSA,GE,0.8066580701835947,SDF4,RPSA,SDF4-RPSA,0.021849742914415562,udTE,0.001,0.012785714285714286
SDF4-RPSA,M,0.08210085290311182,SDF4,RPSA,SDF4-RPSA,0.021849742914415562,udTE,0.001,0.012785714285714286
SDF4-RPSA,B,1.7169718972464707,SDF4,RPSA,SDF4-RPSA,0.021849742914415562,udTE,0.001,0.012785714285714286
SDF4-RPSA,PV1,0.015517765505168236,SDF4,RPSA,SDF4-RPSA,0.021849742914415562,udTE,0.001,0.012785714285714286
SDF4-RPSA,SC1,0.6124422569740062,SDF4,RPSA,SDF4-RPSA,0.021849742914415562,udTE,0.001,0.012785714285714286
SDF4-RPSA,SC2,0.6492964340332513,SDF4,RPSA,SDF4-RPSA,0.021849742914415562,udTE,0.001,0.012785714285714286
SDF4-RPSA,PC,0.3896206483555725,SDF4,RPSA,SDF4-RPSA,0.021849742914415562,udTE,0.001,0.012785714285714286
MIF-RPSA,SC2,1.2521592866634772,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
MIF-RPSA,SC1,0.8390957622316358,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
MIF-RPSA,PC,0.40618455607012277,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
MIF-RPSA,EC,0.666229605961835,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
MIF-RPSA,PV1,0.40266646609722095,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
MIF-RPSA,T,0.32082862892127,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
MIF-RPSA,LE,0.929559365869486,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
MIF-RPSA,B,0.3915427578226288,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
MIF-RPSA,PV2,0.38689100400397053,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
MIF-RPSA,NKT,0.14491387345076373,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
MIF-RPSA,GE,1.3903217051165302,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
MIF-RPSA,NK,0.3321513600851805,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
LRPAP1-LRP2,EC,0.008029479318421491,LRPAP1,LRP2,LRPAP1-LRP2,0.011464881454316926,mmTE,0.001,0.012785714285714286
LRPAP1-LRP2,PC,0.001531467349680332,LRPAP1,LRP2,LRPAP1-LRP2,0.011464881454316926,mmTE,0.001,0.012785714285714286
LRPAP1-LRP2,SC2,0.0002676058453171082,LRPAP1,LRP2,LRPAP1-LRP2,0.011464881454316926,mmTE,0.001,0.012785714285714286
LRPAP1-LRP2,SC1,0.004025860118708731,LRPAP1,LRP2,LRPAP1-LRP2,0.011464881454316926,mmTE,0.001,0.012785714285714286
LRPAP1-LRP2,PV1,0.00041145317828794993,LRPAP1,LRP2,LRPAP1-LRP2,0.011464881454316926,mmTE,0.001,0.012785714285714286
LRPAP1-LRP2,M,0.0028288799842479057,LRPAP1,LRP2,LRPAP1-LRP2,0.011464881454316926,mmTE,0.001,0.012785714285714286
LRPAP1-LRP2,GE,0.010977011764553153,LRPAP1,LRP2,LRPAP1-LRP2,0.011464881454316926,mmTE,0.001,0.012785714285714286
EIF6-RPSA,LE,0.03650948723658992,EIF6,RPSA,EIF6-RPSA,0.006959589883906791,udTE,0.001,0.012785714285714286
EIF6-RPSA,SC2,0.24482999238241168,EIF6,RPSA,EIF6-RPSA,0.006959589883906791,udTE,0.001,0.012785714285714286
EIF6-RPSA,PC,0.14565040735069826,EIF6,RPSA,EIF6-RPSA,0.006959589883906791,udTE,0.001,0.012785714285714286
EIF6-RPSA,PV2,0.024637577561148087,EIF6,RPSA,EIF6-RPSA,0.006959589883906791,udTE,0.001,0.012785714285714286
EIF6-RPSA,GE,0.2177272231125421,EIF6,RPSA,EIF6-RPSA,0.006959589883906791,udTE,0.001,0.012785714285714286
EIF6-RPSA,EC,0.1583057107042924,EIF6,RPSA,EIF6-RPSA,0.006959589883906791,udTE,0.001,0.012785714285714286
EIF6-RPSA,SC1,0.19928507876240234,EIF6,RPSA,EIF6-RPSA,0.006959589883906791,udTE,0.001,0.012785714285714286
ALDOA-RPSA,EC,0.11506055673669881,ALDOA,RPSA,ALDOA-RPSA,0.006682591080896646,udTE,0.001,0.012785714285714286
PRDX4-RPSA,SC2,0.2069337259467178,PRDX4,RPSA,PRDX4-RPSA,0.006461205676667071,udTE,0.001,0.012785714285714286
CALR-RPSA,PC,0.08040401705107099,CALR,RPSA,CALR-RPSA,0.0033268640663753307,udTE,0.001,0.012785714285714286
CALR-RPSA,SC2,0.0580909361588515,CALR,RPSA,CALR-RPSA,0.0033268640663753307,udTE,0.001,0.012785714285714286
CALR-RPSA,SC1,0.0790652927034945,CALR,RPSA,CALR-RPSA,0.0033268640663753307,udTE,0.001,0.012785714285714286
CALR-RPSA,PV1,0.005098342519699887,CALR,RPSA,CALR-RPSA,0.0033268640663753307,udTE,0.001,0.012785714285714286
CALR-RPSA,B,0.10239457920253453,CALR,RPSA,CALR-RPSA,0.0033268640663753307,udTE,0.001,0.012785714285714286
CALR-RPSA,PV2,0.08305911086523722,CALR,RPSA,CALR-RPSA,0.0033268640663753307,udTE,0.001,0.012785714285714286
CALR-RPSA,GE,0.22312183128942312,CALR,RPSA,CALR-RPSA,0.0033268640663753307,udTE,0.001,0.012785714285714286
CALR-RPSA,EC,0.16748130335978964,CALR,RPSA,CALR-RPSA,0.0033268640663753307,udTE,0.001,0.012785714285714286
CALR-RPSA,LE,0.041413035558846366,CALR,RPSA,CALR-RPSA,0.0033268640663753307,udTE,0.001,0.012785714285714286
VCP-RPSA,PC,0.08919743197296974,VCP,RPSA,VCP-RPSA,0.0021198580447763216,udTE,0.001,0.012785714285714286
VCP-RPSA,EC,0.1264075580427317,VCP,RPSA,VCP-RPSA,0.0021198580447763216,udTE,0.001,0.012785714285714286
VCP-RPSA,GE,0.18169362363842761,VCP,RPSA,VCP-RPSA,0.0021198580447763216,udTE,0.001,0.012785714285714286
VCP-RPSA,LE,0.00424185636454872,VCP,RPSA,VCP-RPSA,0.0021198580447763216,udTE,0.001,0.012785714285714286
